Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C28, C29, C30",0402,4,1uF,
"C10, C11, C13",0805,3,22uF,
"C12, C3, C5, C7, C8, C9",0402,6,10uF,
"C14, C15",0402,2,100nF,
"C16, C32",0402,2,2.2uF,
"C17, C18",0402,2,22uF,
"C19, C20, C21, C22, C23, C24, C25, C26, C27, C37",0201,10,100nF,
"C2, C31",0603,2,10uF,
"C33, C34",0201,2,20pF,
"C35, C36",0201,2,6.8pF,
C4,0201,1,47nF,
C6,0603,1,44uF,
CARD1,TF-SMD_TF-02,1,TF-01A_C2889258,C2889258
D1,0402,1,LED,
J1,CONN-TH_XY308-2.54-2P,1,XY308-2.54-2P,C557685
"J2, J3",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
L1,L2520,1,DFE252012F-1R0M=P2,C435392
L2,L0603,1,FCM1608KF-601T03,C141723
L3,IND-SMD_L3.0-W3.0,1,YHNR3015-5R6M,C18236327
L4,IND-SMD_L4.0-W4.0-A,1,XFL4020-152MEC,C3033018
"R1, R2",0201,2,5.1k,
"R10, R11, R12, R13, R16, R17, R18, R19, R20, R21, R22, R6, R7, R8, R9",0201,15,10k,
R14,0402,1,100k,
R15,0201,1,22.1k,
R3,0201,1,383,
R4,0201,1,5.23k,
R5,0201,1,30.1k,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,BQ25883RGER,C544362
U2,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,
U4,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U5,VQFN-15_L3.0-W2.5-P0.50-BL,1,TPS63070RNMR,C109322
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,LMR51430XDDCR,C5185863
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
